core,400_perlbench,401_bzip2,403_gcc,410_bwaves,416_gamess,429_mcf,433_milc,434_zeusmp,435_gromacs,436_cactusADM,437_leslie3d,444_namd,445_gobmk,447_dealII,450_soplex,454_calculix,456_hmmer,458_sjeng,459_GemsFDTD,462_libquantum,464_h264ref,465_tonto,470_lbm,471_omnetpp,473_astar,483_xalancbmk
0,1.42763250275e-10,1.32781124343e-10,1.33388961411e-10,1.46563197346e-10,1.53777476755e-10,5.76333604754e-10,1.9938637584e-10,1.8296909432e-10,1.76725520979e-10,2.42455653215e-10,2.56957920121e-10,1.08661175302e-10,1.35950652267e-10,1.45320746565e-10,2.15490145084e-10,1.62232251272e-10,1.75351948316e-10,1.2067810524e-10,3.07138570514e-10,2.21696342223e-10,1.67477185696e-10,1.55784896634e-10,2.14945171167e-10,9.7081293807e-11,1.38597838039e-10,1.50939660567e-10
1,1.47242240038e-10,1.38317739985e-10,1.40261065176e-10,1.54079905287e-10,1.617203221e-10,6.13047257729e-10,2.1071220266e-10,1.94319710094e-10,1.84936328072e-10,2.55278285254e-10,2.73082084233e-10,1.13863201633e-10,1.43130857712e-10,1.52202871113e-10,2.28123979827e-10,1.7104293964e-10,1.85957405826e-10,1.27434373321e-10,3.03318111959e-10,2.36843219463e-10,1.76085605901e-10,1.63319754745e-10,2.26851332234e-10,1.0122417089e-10,1.4546615994e-10,1.5738314395e-10
2,1.72630146419e-10,1.61563574845e-10,1.66758381917e-10,1.81118243851e-10,1.88944268008e-10,7.56397637162e-10,2.50594678567e-10,2.30445373182e-10,2.16849735119e-10,2.98628888558e-10,3.26687492671e-10,1.33480165904e-10,1.69572654952e-10,1.78369888163e-10,2.76591071614e-10,2.01847898977e-10,2.17259973425e-10,1.51886705263e-10,3.61029949143e-10,2.9106520797e-10,2.05209213409e-10,1.90438333162e-10,2.69231212821e-10,1.21732615675e-10,1.71274146665e-10,1.8365290056e-10
3,1.99792619179e-10,1.85824729432e-10,1.93912097157e-10,2.09457251398e-10,2.1983570599e-10,9.16364225941e-10,2.93900753706e-10,2.72310124805e-10,2.52757631899e-10,3.49296786916e-10,3.88099525947e-10,1.51400060554e-10,1.98032566777e-10,2.07001182767e-10,3.25956352064e-10,2.35621864521e-10,2.56521464445e-10,1.75997176303e-10,4.33323548199e-10,3.47467939718e-10,2.38491792209e-10,2.206983033e-10,3.12582015042e-10,1.39550997231e-10,1.98499337476e-10,2.0640719886e-10
4,1.21508555155e-10,1.13759766247e-10,1.14691998154e-10,1.28327954045e-10,1.31043851205e-10,4.98624461062e-10,1.75416489916e-10,1.56771134495e-10,1.53474593224e-10,2.12169256062e-10,2.14362860657e-10,9.38011365638e-11,1.15808792251e-10,1.24815783875e-10,1.84315660393e-10,1.443823702e-10,1.20347885097e-10,1.02321355905e-10,2.68370439443e-10,1.90872542501e-10,1.3638612073e-10,1.34648008523e-10,1.83475192739e-10,8.36381781289e-11,1.18026519421e-10,1.29044780107e-10
5,1.25976007169e-10,1.19299914152e-10,1.21396769479e-10,1.35847104615e-10,1.38472254939e-10,5.35956754802e-10,1.86750989663e-10,1.6790588381e-10,1.61493982423e-10,2.24671463082e-10,2.28771777581e-10,9.89911127869e-11,1.22826833888e-10,1.3157800944e-10,1.969105153e-10,1.53173589127e-10,1.26766666521e-10,1.0873809509e-10,2.67301803158e-10,2.06021120716e-10,1.44185977466e-10,1.41989162377e-10,1.95350764743e-10,8.78369106599e-11,1.24691363226e-10,1.35381372682e-10
6,1.81923401668e-10,1.74134493127e-10,1.76534434277e-10,1.91004524981e-10,1.95704127139e-10,7.69679285001e-10,2.61840108361e-10,2.37204847263e-10,2.25593897205e-10,3.14631465064e-10,3.23962736886e-10,1.44441574287e-10,1.78220637569e-10,1.89106908808e-10,2.86014595517e-10,2.09678394041e-10,1.86681431067e-10,1.58415667554e-10,3.75684044513e-10,3.03866091008e-10,2.12946289659e-10,2.01232938543e-10,2.79561761695e-10,1.27236520443e-10,1.8234979841e-10,1.92107258408e-10
7,1.76976114158e-10,1.66175796432e-10,1.7410376827e-10,1.91198390733e-10,1.93913797463e-10,8.38680588423e-10,2.69939164673e-10,2.44820438163e-10,2.27561216916e-10,3.16950390832e-10,3.35118506907e-10,1.36469619214e-10,1.76648693722e-10,1.85223672301e-10,2.94088774947e-10,2.17666469031e-10,1.75741955479e-10,1.55654908695e-10,3.96946394841e-10,3.16654141877e-10,2.02337059127e-10,1.9832382823e-10,2.80915627151e-10,1.25757928128e-10,1.76348543968e-10,1.83909426693e-10
8,8.93444879713e-11,7.99085787584e-11,8.65153568526e-11,1.04074086521e-10,1.00567818513e-10,4.50967775236e-10,1.48682484392e-10,1.30328581609e-10,1.22666757961e-10,1.6570750461e-10,1.78004861476e-10,6.6814460346e-11,8.81516861007e-11,8.92872700672e-11,1.54139174486e-10,1.25676237547e-10,7.88698625767e-11,7.83144736325e-11,2.28807348128e-10,1.60755889134e-10,8.99950126563e-11,1.02865428932e-10,1.57251701791e-10,6.81336076209e-11,8.43097514429e-11,1.00256068094e-10
9,9.3621440086e-11,8.54209503536e-11,9.32008673761e-11,1.11594037837e-10,1.07859279917e-10,4.87463602141e-10,1.60022669292e-10,1.40384111136e-10,1.30552695896e-10,1.78170637604e-10,1.91950004665e-10,7.20058588694e-11,9.50985698856e-11,9.54090226746e-11,1.66639846457e-10,1.3445692512e-10,8.48447470488e-11,8.46499596568e-11,2.28489448488e-10,1.75908556907e-10,9.72527012646e-11,1.10090163267e-10,1.69077351799e-10,7.22969723926e-11,9.08726376667e-11,1.06436387836e-10
10,1.83323718026e-10,1.7687023986e-10,1.79340884456e-10,1.93901682435e-10,1.97725508545e-10,7.71841901855e-10,2.65407936369e-10,2.28834835515e-10,2.27635638042e-10,3.19265510169e-10,3.2610194351e-10,1.4718163271e-10,1.80598843471e-10,1.85327689921e-10,2.88918231623e-10,2.12192505094e-10,1.88149392759e-10,1.60460785639e-10,3.80880483468e-10,3.08195266823e-10,2.10757898231e-10,2.0361759887e-10,2.81860835422e-10,1.28761877364e-10,1.84733910724e-10,1.93904706547e-10
11,1.43695004251e-10,1.32044829358e-10,1.45766020546e-10,1.66941036025e-10,1.62767453261e-10,7.86603391789e-10,2.43215287197e-10,2.1253633348e-10,1.95897508963e-10,2.70198486141e-10,2.97182962114e-10,1.09485553982e-10,1.4865316799e-10,1.45502109849e-10,2.63329258826e-10,1.98906817343e-10,1.32464712407e-10,1.31295290849e-10,3.58132329149e-10,2.86545720583e-10,1.52776457241e-10,1.66035883887e-10,2.54387030087e-10,1.10024957216e-10,1.42012231019e-10,1.54596401293e-10
12,1.42779909582e-10,1.36721128765e-10,1.30886030487e-10,1.51563340802e-10,1.5590704884e-10,5.86318951928e-10,2.03551455881e-10,1.8711482248e-10,1.81168893741e-10,2.47214630877e-10,2.61343194849e-10,1.10593753495e-10,1.29885275269e-10,1.4987391354e-10,2.20613362623e-10,1.65228037875e-10,1.78611788508e-10,1.22443921072e-10,3.12272492974e-10,2.25891767411e-10,1.70458414115e-10,1.58494207661e-10,2.18745933539e-10,9.99404275433e-11,1.42867865249e-10,1.52250954844e-10
13,1.4581026554e-10,1.4224458037e-10,1.36614181943e-10,1.59064738311e-10,1.63444326878e-10,6.2293208414e-10,2.14876716293e-10,1.98465445919e-10,1.89360394314e-10,2.60035510063e-10,2.7746418142e-10,1.15372296682e-10,1.35375567397e-10,1.56711228199e-10,2.3322698843e-10,1.74026917979e-10,1.89210872579e-10,1.2869585628e-10,3.0819283253e-10,2.41038736917e-10,1.78969304175e-10,1.6558173517e-10,2.30650468794e-10,1.03535875538e-10,1.49730288027e-10,1.58064217628e-10
14,1.69238762941e-10,1.65484919592e-10,1.60782984269e-10,1.86078220311e-10,1.90026886541e-10,7.6617738759e-10,2.5475872923e-10,2.34591184341e-10,2.21266069986e-10,3.03385897175e-10,3.31068731879e-10,1.33947475143e-10,1.5845915537e-10,1.82825433166e-10,2.81674310984e-10,2.04813265485e-10,2.20511501539e-10,1.52176517137e-10,3.6586458577e-10,2.95260584481e-10,2.07943942892e-10,1.9213710498e-10,2.73030143357e-10,1.23214373841e-10,1.75536965713e-10,1.83293791729e-10
